
['16-Jul-18', 'Mission: Impossible—Fallout', '178000000', '220159104', '786626183\n'], The profit from this movie is: $828785287 

['18-May-16', 'X-Men: Apocalypse', '178000000', '155442489', '542537546\n'], The profit from this movie is: $519980035 

['9-Aug-18', 'The Meg', '178000000', '145443742', '527267828\n'], The profit from this movie is: $494711570 

['28-May-14', 'Edge of Tomorrow', '178000000', '100206256', '367028980\n'], The profit from this movie is: $289235236 

['6-Mar-19', 'Captain Marvel', '175000000', '426829839', '1129576094\n'], The profit from this movie is: $1381405933 

['7-Apr-16', 'The Jungle Book', '175000000', '364001123', '953535821\n'], The profit from this movie is: $1142536944 

['12-Jun-15', 'Inside Out', '175000000', '356461711', '850566343\n'], The profit from this movie is: $1032028054 

['5-Jul-17', 'Spider-Man: Homecoming', '175000000', '334201140', '878271291\n'], The profit from this movie is: $1037472431 

['2-Aug-16', 'Suicide Squad', '175000000', '325100054', '745744980\n'], The profit from this movie is: $895845034 

['28-May-09', 'Up', '175000000', '293004164', '731463377\n'], The profit from this movie is: $849467541 

['27-Oct-17', 'Coco', '175000000', '210460015', '796514370\n'], The profit from this movie is: $831974385 

['21-Nov-18', 'Ralph Breaks The Internet', '175000000', '201091711', '529290830\n'], The profit from this movie is: $555382541 

['27-Mar-09', 'Monsters vs. Aliens', '175000000', '198351526', '381687380\n'], The profit from this movie is: $405038906 

['16-Jun-17', 'Cars 3', '175000000', '152901115', '383541369\n'], The profit from this movie is: $361442484 

['7-Aug-09', 'G.I. Joe: The Rise of Cobra', '175000000', '150201498', '302469017\n'], The profit from this movie is: $277670515 

['30-Jun-99', 'Wild Wild West', '175000000', '113805681', '221229335\n'], The profit from this movie is: $160035016 

['1-Aug-08', 'The Mummy: Tomb of the Dragon Emperor', '175000000', '102491776', '405760225\n'], The profit from this movie is: $333252001 

['22-Jun-07', 'Evan Almighty', '175000000', '100289690', '174131329\n'], The profit from this movie is: $99421019 

['28-Jul-95', 'Waterworld', '175000000', '88246220', '264246220\n'], The profit from this movie is: $177492440 

['8-Jan-20', 'Dolittle', '175000000', '77047065', '251509294\n'], The profit from this movie is: $153556359 

['11-May-17', 'King Arthur: Legend of the Sword', '175000000', '39175066', '139630336\n'], The profit from this movie is: $3805402 

['6-Dec-13', '47 Ronin', '175000000', '38362475', '151716815\n'], The profit from this movie is: $15079290 

['10-Mar-22', 'Turning Red', '175000000', '0', '10872141\n'], The profit from this movie is: $-164127859 

['20-May-22', 'Top Gun: Maverick', '170000000', '718732821', '1472587508\n'], The profit from this movie is: $2021320329 

['6-Jun-18', 'Jurassic World: Fallen Kingdom', '170000000', '417719760', '1308323302\n'], The profit from this movie is: $1556043062 

['31-Jul-14', 'Guardians of the Galaxy', '170000000', '333714112', '770882395\n'], The profit from this movie is: $934596507 

['7-May-10', 'Iron Man 2', '170000000', '312433331', '621156389\n'], The profit from this movie is: $763589720 

['28-Mar-14', 'Captain America: The Winter Soldier', '170000000', '259746958', '714401889\n'], The profit from this movie is: $804148847 

['9-Jul-14', 'Dawn of the Planet of the Apes', '170000000', '208545589', '710644566\n'], The profit from this movie is: $749190155 

['10-Nov-04', 'The Polar Express', '170000000', '188042855', '312183437\n'], The profit from this movie is: $330226292 

['30-May-12', 'Snow White and the Huntsman', '170000000', '155136755', '401021746\n'], The profit from this movie is: $386158501 

['1-Jul-03', 'Terminator 3: Rise of the Machines', '170000000', '150358296', '433058296\n'], The profit from this movie is: $413416592 

['5-May-04', 'Van Helsing', '170000000', '120150546', '300150546\n'], The profit from this movie is: $250301092 

['27-Mar-19', 'Dumbo', '170000000', '114766307', '353166307\n'], The profit from this movie is: $297932614 

['29-May-19', 'Godzilla: King of the Monsters', '170000000', '110500138', '383299914\n'], The profit from this movie is: $323800052 

['20-May-15', 'Tomorrowland', '170000000', '93436322', '206627518\n'], The profit from this movie is: $130063840 

['1-Feb-19', 'Alita: Battle Angel', '170000000', '85838210', '401900040\n'], The profit from this movie is: $317738250 

['20-May-16', 'Alice Through the Looking Glass', '170000000', '77042381', '276928112\n'], The profit from this movie is: $183970493 

['1-Jun-22', 'Jurassic World: Dominion', '165000000', '376851080', '1003700664\n'], The profit from this movie is: $1215551744 

['21-May-10', 'Shrek Forever After', '165000000', '238736787', '756244673\n'], The profit from this movie is: $829981460 

['24-Oct-16', 'Doctor Strange', '165000000', '232641920', '676343174\n'], The profit from this movie is: $743985094 

['25-Oct-14', 'Big Hero 6', '165000000', '222527828', '647263005\n'], The profit from this movie is: $704790833 

['26-Mar-10', 'How to Train Your Dragon', '165000000', '217581232', '494870992\n'], The profit from this movie is: $547452224 

['1-Nov-12', 'Wreck-It Ralph', '165000000', '189412677', '496511521\n'], The profit from this movie is: $520924198 

['5-Nov-14', 'Interstellar', '165000000', '188017894', '647074146\n'], The profit from this movie is: $670092040 

['15-Sep-21', 'Dune', '165000000', '108327830', '391381375\n'], The profit from this movie is: $334709205 

